Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Malafaia, G., Nascimento, Í.F., Estrela, F.N., Guimarães, A.T.B., Ribeiro, F., Luz, T.M.D., Rodrigues, A.S.D.L.","26658611900; 57222743211; 57194022274; 56783696300; 56233235800; 57222809696; 33267943000","Green toxicology approach involving polylactic acid biomicroplastics and neotropical tadpoles: (Eco)toxicological safety or environmental hazard?",2021,"Science of the Total Environment",783,"", 146994,,,,,10.1016/j.scitotenv.2021.146994,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104072795&partnerID=40&md5=b290bda0cd7711ae90eb6a0e3db78865",Article,Final,,Scopus,2-s2.0-85104072795
"Sumrra, S.H., Zafar, W., Asghar, M.L., Mushtaq, F., Raza, M.A., Nazar, M.F., Nadeem, M.A., Imran, M., Mumtaz, S.","35312786600; 57219670868; 57223002500; 57195639948; 33068242500; 24759084400; 57217650956; 57217535524; 57223005255","Computational investigation of molecular structures, spectroscopic properties, cholinesterase inhibition and antibacterial activities of triazole Schiff bases endowed metal chelates",2021,"Journal of Molecular Structure",1238,"", 130382,,,,,10.1016/j.molstruc.2021.130382,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104423193&partnerID=40&md5=d4153d7642cf0c6a77557eda6d9c64bf",Article,Final,,Scopus,2-s2.0-85104423193
"Nascimento, Í.F., Guimarães, A.T.B., Ribeiro, F., Rodrigues, A.S.D.L., Estrela, F.N., Luz, T.M.D., Malafaia, G.","57222743211; 56783696300; 56233235800; 33267943000; 57194022274; 57221460334; 26658611900","Polyethylene glycol acute and sub-lethal toxicity in neotropical Physalaemus cuvieri tadpoles (Anura, Leptodactylidae)",2021,"Environmental Pollution",283,"", 117054,,,,,10.1016/j.envpol.2021.117054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103965065&partnerID=40&md5=676ee701a8bf684a0cf43babd4216371",Article,Final,,Scopus,2-s2.0-85103965065
"Günsel, A., Taslimi, P., Atmaca, G.Y., Bilgiçli, A.T., Pişkin, H., Ceylan, Y., Erdoğmuş, A., Yarasir, M.N., Gülçin, İ.","24449226500; 56658628800; 56496970700; 35078119600; 57103679700; 57196217590; 23105409900; 6505655624; 35509141500","Novel potential metabolic enzymes inhibitor, photosensitizer and antibacterial agents based on water-soluble phthalocyanine bearing imidazole derivative",2021,"Journal of Molecular Structure",1237,"", 130402,,,,,10.1016/j.molstruc.2021.130402,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103979774&partnerID=40&md5=15b3743a2e86e0d6f22f6f4ebd9fa495",Article,Final,,Scopus,2-s2.0-85103979774
"Tan, K.S., Zhang, Y., Liu, L., Li, S., Zou, X., Zeng, W., Cheng, G., Wang, D., Tan, W.","57222397813; 57222397308; 57222398628; 57211478147; 57222397507; 57222393637; 57222393434; 57222394484; 57190610817","Molecular cloning and characterization of an atypical butyrylcholinesterase-like protein in zebrafish",2021,"Comparative Biochemistry and Physiology Part - B: Biochemistry and Molecular Biology",255,"", 110590,,,,,10.1016/j.cbpb.2021.110590,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102603979&partnerID=40&md5=073ce42693990d5494065ec7d23ab133",Article,Final,,Scopus,2-s2.0-85102603979
"da Luz, T.M., Araújo, A.P.D.C., Estrela, F.N., Braz, H.L.B., Jorge, R.J.B., Charlie-Silva, I., Malafaia, G.","57212062171; 57204445808; 57194022274; 57218401141; 41261633600; 57201792109; 26658611900","Can use of hydroxychloroquine and azithromycin as a treatment of COVID-19 affect aquatic wildlife? A study conducted with neotropical tadpole",2021,"Science of the Total Environment",780,"", 146553,,,,,10.1016/j.scitotenv.2021.146553,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103075680&partnerID=40&md5=ea7c3d84595d3378ae9ef21314759386",Article,Final,,Scopus,2-s2.0-85103075680
"Castro, M.F.V., Stefanello, N., Assmann, C.E., Baldissarelli, J., Bagatini, M.D., da Silva, A.D., da Costa, P., Borba, L., da Cruz, I.B.M., Morsch, V.M., Schetinger, M.R.C.","57221742575; 23487293200; 56385551000; 39361193900; 16174442400; 57198581774; 55017452100; 57222714350; 57204344746; 6603051632; 6701672606","Modulatory effects of caffeic acid on purinergic and cholinergic systems and oxi-inflammatory parameters of streptozotocin-induced diabetic rats",2021,"Life Sciences",277,"", 119421,,,,,10.1016/j.lfs.2021.119421,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103784118&partnerID=40&md5=9ac06e106305765dc10099bab72f0ddf",Article,Final,,Scopus,2-s2.0-85103784118
"Barut, B., Sari, S., Sabuncuoğlu, S., Özel, A.","56798054200; 56779707700; 35105891500; 36665016100","Azole antifungal compounds could have dual cholinesterase inhibitory potential according to virtual screening, enzyme kinetics, and toxicity studies of an inhouse library",2021,"Journal of Molecular Structure",1235,"", 130268,,,,,10.1016/j.molstruc.2021.130268,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102734083&partnerID=40&md5=59eb67a6c481db3662fe7749f3612067",Article,Final,,Scopus,2-s2.0-85102734083
"Ma, Z., Cao, L., Xing, Y., Feng, A., Zhang, P., Li, W., Nie, H., Shi, Y.-E., Wang, Z.","57222813084; 57222811412; 57218347057; 57222812250; 57218112210; 57213858223; 57222811166; 57204119003; 57109652400","Sensitive detection of butyrylcholinesterase activity based on a separation-free photothermal assay",2021,"Microchemical Journal",166,"", 106220,,,,,10.1016/j.microc.2021.106220,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104074844&partnerID=40&md5=1a451ab3b19d47146e1e359db16d4a0b",Article,Final,,Scopus,2-s2.0-85104074844
"Cash, M.K., Rockwood, K., Fisk, J.D., Darvesh, S.","54796415700; 7103175498; 7006041942; 7004045186","Clinicopathological correlations and cholinesterase expression in early-onset familial Alzheimer's disease with the presenilin 1 mutation, Leu235Pro",2021,"Neurobiology of Aging",103,"",,31,41,,,10.1016/j.neurobiolaging.2021.02.025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103368194&partnerID=40&md5=e2daaf3a91a2a6618e53c1f9d9cde001",Article,Final,,Scopus,2-s2.0-85103368194
"Contreras-Aguilar, M.D., López-Arjona, M., Martínez-Miró, S., Escribano, D., Hernández-Ruipérez, F., Cerón, J.J., Tecles, F.","57194055629; 57200116206; 57221647327; 53663458500; 56315641800; 7004887203; 6603311242","Changes in saliva analytes during pregnancy, farrowing and lactation in sows: A sialochemistry approach",2021,"Veterinary Journal",273,"", 105679,,,,,10.1016/j.tvjl.2021.105679,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104580043&partnerID=40&md5=c1cba361339b3dd206549feafc808dde",Article,Final,,Scopus,2-s2.0-85104580043
"Zhao, Y., Schuhmacher, L.-N., Roberts, M., Kakugawa, S., Bineva-Todd, G., Howell, S., O'Reilly, N., Perret, C., Snijders, A.P., Vincent, J.-P., Jones, E.Y.","57221325464; 54780618100; 57222544571; 57199231786; 57217164556; 57210206484; 6603906721; 7101931813; 10039862900; 7403123382; 7404236867","Notum deacylates octanoylated ghrelin",2021,"Molecular Metabolism",49,"", 101201,,,,,10.1016/j.molmet.2021.101201,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103128589&partnerID=40&md5=8f35c407eae1511188f5261fd2f44e76",Article,Final,Open Access,Scopus,2-s2.0-85103128589
"Ishola, A.A., Oyinloye, B.E., Ajiboye, B.O., Kappo, A.P.","57206249424; 54395911800; 56103595900; 55308277800","Molecular docking studies of flavonoids from Andrographis paniculata as potential acetylcholinesterase, butyrylcholinesterase and monoamine oxidase inhibitors towards the treatment of neurodegenerative diseases",2021,"Biointerface Research in Applied Chemistry",11,"3",,9871,9879,,,10.33263/BRIAC113.98719879,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096165898&partnerID=40&md5=8e5cffd0fbec62e2c6f94d7801e221d6",Article,Final,Open Access,Scopus,2-s2.0-85096165898
"Pasieka, A., Panek, D., Jończyk, J., Godyń, J., Szałaj, N., Latacz, G., Tabor, J., Mezeiova, E., Chantegreil, F., Dias, J., Knez, D., Lu, J., Pi, R., Korabecny, J., Brazzolotto, X., Gobec, S., Höfner, G., Wanner, K., Więckowska, A., Malawska, B.","57189331510; 56610015500; 35976133000; 57045830300; 56667738000; 16550288000; 57222709522; 56168434700; 57221928461; 57220975384; 55769767300; 57200145382; 14025987700; 35734188400; 6507794399; 23992294900; 7003756060; 35610333600; 36890303000; 55913729000","Discovery of multifunctional anti-Alzheimer's agents with a unique mechanism of action including inhibition of the enzyme butyrylcholinesterase and γ-aminobutyric acid transporters",2021,"European Journal of Medicinal Chemistry",218,"", 113397,,,,,10.1016/j.ejmech.2021.113397,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103794568&partnerID=40&md5=58b6c769ac0c77fe4b0f2c31f475ffde",Article,Final,,Scopus,2-s2.0-85103794568
